transaction_id,user_id,amount,currency,payment_method,merchant_id,timestamp,status,country,device_id,ip_id,failed_attempts,account_age_days,hour,is_suspicious,user_txn_count_1h,risk_reason,dataset_split
TXN00001,8,204.39,INR,CARD,M007,2026-03-06 21:45:00,SUCCESS,GB,D025,IP017,3,1332,18,0,0,normal,train
TXN00002,63,440.27,INR,UPI,M002,2026-02-10 05:46:00,SUCCESS,IN,D112,IP141,1,1169,15,0,0,normal,train
TXN00003,37,587.9,INR,NETBANKING,M002,2026-01-07 10:42:00,SUCCESS,IN,D034,IP114,0,1269,12,0,0,normal,train
TXN00004,78,397.07,INR,UPI,M003,2026-03-03 19:23:00,SUCCESS,IN,D057,IP090,0,107,18,0,0,normal,train
TXN00005,74,4481.51,INR,UPI,M006,2026-03-04 02:47:00,SUCCESS,IN,D010,IP085,1,849,8,1,0,behavioral_anomaly,train
TXN00006,39,65681.78,INR,UPI,M002,2026-03-17 05:40:00,SUCCESS,GB,D100,IP114,0,1269,19,1,0,unusually_high_amount,train
TXN00007,35,486.64,INR,CARD,M007,2026-03-14 01:10:00,SUCCESS,IN,D135,IP213,0,1454,6,1,0,new_device_pattern,test
TXN00008,63,715.85,INR,NETBANKING,M005,2026-01-11 15:23:00,SUCCESS,IN,D165,IP229,0,1036,10,1,0,new_device_pattern,train
TXN00009,36,921.69,INR,CARD,M006,2026-03-13 21:00:00,SUCCESS,IN,D069,IP115,0,190,15,0,0,normal,train
TXN00010,25,343.25,INR,UPI,M003,2026-01-06 13:56:00,SUCCESS,IN,D131,IP210,0,1540,19,1,0,new_device_pattern,train
TXN00011,69,121108.24,INR,NETBANKING,M003,2026-02-07 22:47:00,SUCCESS,IN,D061,IP142,0,754,12,1,0,unusually_high_amount,train
TXN00012,66,271.39,INR,UPI,M007,2026-02-15 10:15:00,SUCCESS,IN,D087,IP126,0,847,21,0,0,normal,train
TXN00013,76,623.22,INR,UPI,M002,2026-03-28 16:56:00,SUCCESS,IN,D029,IP055,0,1104,12,0,0,normal,test
TXN00014,8,165.34,INR,NETBANKING,M004,2026-03-12 10:06:00,SUCCESS,SG,D084,IP083,2,500,10,0,0,normal,train
TXN00015,21,221.36,INR,UPI,M006,2026-03-07 06:41:00,SUCCESS,IN,D054,IP163,0,1276,9,0,0,normal,train
TXN00016,25,532.88,INR,NETBANKING,M001,2026-02-26 18:59:00,SUCCESS,IN,D140,IP201,0,1303,11,1,0,new_device_pattern,test
TXN00017,12,372.59,INR,UPI,M005,2026-03-01 18:53:00,SUCCESS,IN,D095,IP008,0,363,11,0,0,normal,train
TXN00018,12,1336.06,INR,UPI,M003,2026-02-23 12:22:00,SUCCESS,IN,D112,IP179,0,1058,16,0,0,normal,train
TXN00019,24,147.95,INR,NETBANKING,M001,2026-02-10 00:55:00,SUCCESS,IN,D008,IP015,0,1217,14,0,0,normal,train
TXN00020,76,212.27,INR,UPI,M008,2026-01-03 06:40:00,SUCCESS,IN,D040,IP099,0,951,10,0,0,normal,train
TXN00021,30,501.59,INR,CARD,M007,2026-01-23 06:45:00,SUCCESS,IN,D038,IP020,0,240,10,0,0,normal,train
TXN00022,53,1678.99,INR,UPI,M005,2026-02-20 06:28:00,SUCCESS,IN,D110,IP176,0,437,8,0,0,normal,train
TXN00023,44,190483.25,INR,NETBANKING,M003,2026-03-23 19:56:00,SUCCESS,US,D025,IP172,0,1130,14,1,0,unusually_high_amount,train
TXN00024,21,272.85,INR,UPI,M003,2026-03-09 16:59:00,SUCCESS,IN,D133,IP229,1,1786,7,1,0,new_device_pattern,train
TXN00025,68,407.9,INR,UPI,M008,2026-03-22 02:23:00,SUCCESS,IN,D003,IP139,0,756,12,0,0,normal,train
TXN00026,8,1410.67,INR,WALLET,M008,2026-01-15 03:05:00,SUCCESS,IN,D029,IP006,1,247,21,0,0,normal,train
TXN00027,60,1334.19,INR,UPI,M002,2026-02-15 06:30:00,SUCCESS,GB,D034,IP056,0,597,22,0,0,normal,train
TXN00028,41,394.42,INR,UPI,M003,2026-02-15 21:40:00,SUCCESS,IN,D016,IP004,0,1229,11,0,0,normal,test
TXN00029,75,178.73,INR,NETBANKING,M006,2026-02-09 09:05:00,SUCCESS,IN,D004,IP129,0,1491,8,0,0,normal,train
TXN00030,10,76016.92,INR,UPI,M002,2026-01-27 02:43:00,SUCCESS,IN,D059,IP092,8,1203,14,1,0,many_failed_attempts,test
TXN00031,77,376.95,INR,CARD,M008,2026-01-01 22:03:00,SUCCESS,IN,D101,IP020,0,1355,13,0,0,normal,test
TXN00032,78,92679.62,INR,NETBANKING,M004,2026-01-11 03:45:00,SUCCESS,US,D057,IP115,0,1419,17,1,0,unusually_high_amount,train
TXN00033,24,272.98,INR,CARD,M007,2026-01-27 10:05:00,SUCCESS,IN,D092,IP110,1,1363,16,0,0,normal,test
